Local time,Open,High,Low,Close,Volume
09.09.2024 23:00:00.000 GMT+0200,2.1451,2.2557,2.1201,2.2302,3.7298
10.09.2024 23:00:00.000 GMT+0200,2.2292,2.3230,2.2111,2.2727,3.5516
11.09.2024 23:00:00.000 GMT+0200,2.2822,2.3907,2.2300,2.3557,4.455900000000001
12.09.2024 23:00:00.000 GMT+0200,2.3577,2.4047,2.2880,2.2907,3.4385
13.09.2024 23:00:00.000 GMT+0200,2.2907,2.2907,2.2907,2.2907,0
14.09.2024 23:00:00.000 GMT+0200,2.2907,2.2907,2.2907,2.2907,0
15.09.2024 23:00:00.000 GMT+0200,2.2812,2.3952,2.2592,2.3882,3.3473999999999995
16.09.2024 23:00:00.000 GMT+0200,2.3851,2.4329,2.3029,2.3062,3.4648999999999996
17.09.2024 23:00:00.000 GMT+0200,2.3039,2.3747,2.2727,2.2862,3.3569999999999998
18.09.2024 23:00:00.000 GMT+0200,2.2830,2.3579,2.2212,2.3491,3.3633000000000006
19.09.2024 23:00:00.000 GMT+0200,2.3519,2.4539,2.3127,2.4502,4.505400000000001
20.09.2024 23:00:00.000 GMT+0200,2.4502,2.4502,2.4502,2.4502,0
21.09.2024 23:00:00.000 GMT+0200,2.4502,2.4502,2.4502,2.4502,0
22.09.2024 23:00:00.000 GMT+0200,2.4637,2.6407,2.4529,2.6299,4.326199999999999
23.09.2024 23:00:00.000 GMT+0200,2.8569,2.8921,2.7739,2.8092,3.1188
24.09.2024 23:00:00.000 GMT+0200,2.8090,2.8839,2.7930,2.8230,2.6843
25.09.2024 23:00:00.000 GMT+0200,2.8239,2.8772,2.7290,2.7397,2.8634999999999997
26.09.2024 23:00:00.000 GMT+0200,2.7359,2.9261,2.7149,2.9150,4.6125
27.09.2024 23:00:00.000 GMT+0200,2.9150,2.9150,2.9150,2.9150,0
28.09.2024 23:00:00.000 GMT+0200,2.9150,2.9150,2.9150,2.9150,0
29.09.2024 23:00:00.000 GMT+0200,2.8821,2.9462,2.8631,2.9042,2.4837000000000002
30.09.2024 23:00:00.000 GMT+0200,2.9021,2.9369,2.8220,2.8959,2.3073
01.10.2024 23:00:00.000 GMT+0200,2.8950,2.9969,2.8669,2.9189,2.9144
02.10.2024 23:00:00.000 GMT+0200,2.9147,2.9831,2.8979,2.9647,2.31
03.10.2024 23:00:00.000 GMT+0200,2.9692,3.0167,2.8259,2.8261,3.1101000000000005
04.10.2024 23:00:00.000 GMT+0200,2.8261,2.8261,2.8261,2.8261,0
05.10.2024 23:00:00.000 GMT+0200,2.8261,2.8261,2.8261,2.8261,0
06.10.2024 23:00:00.000 GMT+0200,2.8021,2.8351,2.7019,2.7260,2.9254
07.10.2024 23:00:00.000 GMT+0200,2.7257,2.7789,2.6959,2.7051,1.9674
08.10.2024 23:00:00.000 GMT+0200,2.7069,2.7202,2.6299,2.6382,2.8539000000000008
09.10.2024 23:00:00.000 GMT+0200,2.6401,2.6967,2.5869,2.6837,2.4539000000000004
10.10.2024 23:00:00.000 GMT+0200,2.6831,2.7241,2.6129,2.6219,2.1679
11.10.2024 23:00:00.000 GMT+0200,2.6219,2.6219,2.6219,2.6219,0
12.10.2024 23:00:00.000 GMT+0200,2.6219,2.6219,2.6219,2.6219,0
13.10.2024 23:00:00.000 GMT+0200,2.6092,2.6130,2.4709,2.4731,3.3021
14.10.2024 23:00:00.000 GMT+0200,2.4761,2.5477,2.4399,2.4802,2.8038000000000003
15.10.2024 23:00:00.000 GMT+0200,2.4827,2.4957,2.3559,2.3720,4.7771
16.10.2024 23:00:00.000 GMT+0200,2.3712,2.4139,2.3399,2.3421,2.6916
